ticker,ff12,ff12_source,classification_confidence
A,6,legacy_symbols_with_sector,
AA,3,legacy_symbols_with_sector,
AACG,12,legacy_symbols_with_sector,
AAL,12,legacy_symbols_with_sector,
AAME,11,legacy_symbols_with_sector,
AAMI,11,legacy_symbols_with_sector,
AAOI,6,legacy_symbols_with_sector,
AAON,3,legacy_symbols_with_sector,
AAP,9,legacy_symbols_with_sector,
AAPL,6,legacy_symbols_with_sector,
AAT,11,legacy_symbols_with_sector,
AB,11,legacy_symbols_with_sector,
ABBV,10,legacy_symbols_with_sector,
ABCB,11,legacy_symbols_with_sector,
ABCL,10,legacy_symbols_with_sector,
ABEO,10,legacy_symbols_with_sector,
ABEV,1,legacy_symbols_with_sector,
ABG,9,legacy_symbols_with_sector,
ABLV,9,legacy_symbols_with_sector,
ABM,12,legacy_symbols_with_sector,
ABNB,12,legacy_symbols_with_sector,
ABOS,10,legacy_symbols_with_sector,
ABPWW,10,legacy_symbols_with_sector,
ABR,11,legacy_symbols_with_sector,
ABSI,12,legacy_symbols_with_sector,
ABT,10,legacy_symbols_with_sector,
ABTS,11,legacy_symbols_with_sector,
ABUS,10,legacy_symbols_with_sector,
ABVC,10,legacy_symbols_with_sector,
ACA,3,legacy_symbols_with_sector,
ACAD,10,legacy_symbols_with_sector,
ACAT,12,legacy_symbols_with_sector,
ACB,10,legacy_symbols_with_sector,
ACCL,12,legacy_symbols_with_sector,
ACCO,1,legacy_symbols_with_sector,
ACCS,12,legacy_symbols_with_sector,
ACDC,4,legacy_symbols_with_sector,
ACEL,12,legacy_symbols_with_sector,
ACET,10,legacy_symbols_with_sector,
ACGL,11,legacy_symbols_with_sector,
ACGLN,11,legacy_symbols_with_sector,
ACGLO,11,legacy_symbols_with_sector,
ACH,9,legacy_symbols_with_sector,
ACHC,10,legacy_symbols_with_sector,
ACHR,3,legacy_symbols_with_sector,
ACHV,10,legacy_symbols_with_sector,
ACI,9,legacy_symbols_with_sector,
ACIC,11,legacy_symbols_with_sector,
ACIU,10,legacy_symbols_with_sector,
ACIW,6,legacy_symbols_with_sector,
ACLS,3,legacy_symbols_with_sector,
ACLX,10,legacy_symbols_with_sector,
ACM,12,legacy_symbols_with_sector,
ACMR,3,legacy_symbols_with_sector,
ACN,12,legacy_symbols_with_sector,
ACNB,11,legacy_symbols_with_sector,
ACNT,5,legacy_symbols_with_sector,
ACON,10,legacy_symbols_with_sector,
ACONW,10,legacy_symbols_with_sector,
ACR,11,legacy_symbols_with_sector,
ACRE,11,legacy_symbols_with_sector,
ACRS,10,legacy_symbols_with_sector,
ACRV,10,legacy_symbols_with_sector,
ACT,11,legacy_symbols_with_sector,
ACTG,11,legacy_symbols_with_sector,
ACU,3,legacy_symbols_with_sector,
ACVA,12,legacy_symbols_with_sector,
ACXP,10,legacy_symbols_with_sector,
AD,7,legacy_symbols_with_sector,
ADAG,10,legacy_symbols_with_sector,
ADAM,11,legacy_symbols_with_sector,
ADAML,11,legacy_symbols_with_sector,
ADAMM,11,legacy_symbols_with_sector,
ADAMN,11,legacy_symbols_with_sector,
ADAMZ,11,legacy_symbols_with_sector,
ADBE,6,legacy_symbols_with_sector,
ADC,11,legacy_symbols_with_sector,
ADCT,10,legacy_symbols_with_sector,
ADEA,7,legacy_symbols_with_sector,
ADI,6,legacy_symbols_with_sector,
ADIL,10,legacy_symbols_with_sector,
ADM,1,legacy_symbols_with_sector,
ADMA,10,legacy_symbols_with_sector,
ADNT,2,legacy_symbols_with_sector,
ADP,6,legacy_symbols_with_sector,
ADPT,10,legacy_symbols_with_sector,
ADSE,3,legacy_symbols_with_sector,
ADSEW,3,legacy_symbols_with_sector,
ADSK,6,legacy_symbols_with_sector,
ADT,12,legacy_symbols_with_sector,
ADTN,6,legacy_symbols_with_sector,
ADTX,10,legacy_symbols_with_sector,
ADUS,10,legacy_symbols_with_sector,
ADV,12,legacy_symbols_with_sector,
ADXN,10,legacy_symbols_with_sector,
AEAE,2,legacy_symbols_with_sector,
AEAEU,2,legacy_symbols_with_sector,
AEAEW,2,legacy_symbols_with_sector,
AEC,12,legacy_symbols_with_sector,
AED,9,legacy_symbols_with_sector,
AEE,8,legacy_symbols_with_sector,
AEFC,11,legacy_symbols_with_sector,
AEG,11,legacy_symbols_with_sector,
AEHL,7,legacy_symbols_with_sector,
AEHR,6,legacy_symbols_with_sector,
AEI,11,legacy_symbols_with_sector,
AEIS,6,legacy_symbols_with_sector,
AEM,12,legacy_symbols_with_sector,
AEMD,10,legacy_symbols_with_sector,
AENT,9,legacy_symbols_with_sector,
AENTW,9,legacy_symbols_with_sector,
AEO,9,legacy_symbols_with_sector,
AEON,10,legacy_symbols_with_sector,
AEP,8,legacy_symbols_with_sector,
AER,12,legacy_symbols_with_sector,
AERO,12,legacy_symbols_with_sector,
AERT,12,legacy_symbols_with_sector,
AERTW,12,legacy_symbols_with_sector,
AES,12,legacy_symbols_with_sector,
AEVA,2,legacy_symbols_with_sector,
AEYE,6,legacy_symbols_with_sector,
AFBI,11,legacy_symbols_with_sector,
AFCG,11,legacy_symbols_with_sector,
AFG,11,legacy_symbols_with_sector,
AFGB,11,legacy_symbols_with_sector,
AFGC,11,legacy_symbols_with_sector,
AFGD,11,legacy_symbols_with_sector,
AFGE,11,legacy_symbols_with_sector,
AFL,11,legacy_symbols_with_sector,
AFRI,1,legacy_symbols_with_sector,
AFRIW,1,legacy_symbols_with_sector,
AFRM,11,legacy_symbols_with_sector,
AFYA,12,legacy_symbols_with_sector,
AG,12,legacy_symbols_with_sector,
AGAE,12,legacy_symbols_with_sector,
AGCO,3,legacy_symbols_with_sector,
AGEN,10,legacy_symbols_with_sector,
AGI,12,legacy_symbols_with_sector,
AGIG,4,legacy_symbols_with_sector,
