symbol,first_eligible_trade_date,source,notes
A,2000-11-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AA,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AACG,2009-01-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AAL,2006-09-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AAME,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AAMI,2015-10-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AAOI,2014-09-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AAON,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AAP,2002-11-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AAPL,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AAT,2012-01-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
AB,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABBV,2014-01-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABCB,1995-05-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABCL,2021-12-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABEO,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABEV,1998-03-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABG,2003-03-21,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABLV,2023-09-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABM,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABNB,2021-12-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABOS,2022-07-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABR,2005-04-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABSI,2022-07-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABTS,2015-04-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABUS,2008-07-25,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ABVC,2005-11-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACA,2019-11-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACAD,2005-05-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACAT,2021-10-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACB,2015-07-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACCO,2006-08-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACCS,2009-01-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACDC,2023-05-16,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACEL,2018-08-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
ACET,2019-01-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
