Date,close,high,low,open,volume
2021-08-27,18760.0,19600.0,17526.599609375,18060.0,223
2021-08-30,18180.0,18700.0,17600.0,18420.0,718
2021-08-31,17020.0,18240.0,16160.0,18200.0,215
2021-09-01,17780.0,17820.0,17110.0,17110.0,488
2021-09-02,18700.0,19420.0,18340.0,18440.0,190
2021-09-03,18720.0,18860.0,18480.0,18740.0,176
2021-09-07,17640.0,18760.0,17120.0,18760.0,263
2021-09-08,17960.0,19300.0,17380.0,17380.0,269
2021-09-09,18060.0,18160.0,17560.0,17840.0,160
2021-09-10,18000.0,18300.0,17800.0,17960.0,172
2021-09-13,17860.0,18200.0,17843.0,17980.0,164
2021-09-14,18000.0,18100.0,17740.0,18040.0,176
2021-09-15,18020.0,18640.0,17280.0,18640.0,174
2021-09-16,18200.0,18460.0,17840.0,18060.0,109
2021-09-17,19160.0,19560.0,18200.0,18200.0,306
2021-09-20,18560.0,18880.0,17940.0,18880.0,243
2021-09-21,18360.0,19160.0,17820.0,19080.0,198
2021-09-22,18500.0,19160.0,17640.0,18240.0,353
2021-09-23,18400.0,18960.0,17660.0,18780.0,280
2021-09-24,18500.0,18720.0,17460.0,18420.0,159
2021-09-27,17700.0,18455.599609375,17400.0,18280.0,459
2021-09-28,17040.0,17600.19921875,16140.0,17340.0,484
2021-09-29,16440.0,17420.0,15880.0,17140.0,293
2021-09-30,15540.0,16755.80078125,15300.0,16560.0,224
2021-10-01,14440.0,15800.0,14080.0,15760.0,614
2021-10-04,14600.0,14740.0,14140.0,14740.0,487
2021-10-05,14060.0,14860.0,13560.0,14540.0,602
2021-10-06,14100.0,14660.0,12600.0,12720.0,1929
2021-10-07,14420.0,15100.0,13980.0,14120.0,1719
2021-10-08,14020.0,14640.0,13500.0,14280.0,685
2021-10-11,14420.0,14660.0,14060.0,14060.0,271
2021-10-12,14300.0,14860.0,14120.0,14540.0,489
2021-10-13,14300.0,14640.0,14200.0,14200.0,320
2021-10-14,14320.0,14600.0,14100.0,14440.0,358
2021-10-15,14300.0,14480.0,13960.0,14460.0,241
2021-10-18,14420.0,14620.0,14160.0,14300.0,241
2021-10-19,14500.0,14700.0,14420.0,14460.0,200
2021-10-20,15200.0,15240.0,14460.0,14460.0,198
2021-10-21,15300.0,15960.0,15023.599609375,15200.0,224
2021-10-22,15180.0,15300.0,14950.0,15300.0,329
2021-10-25,16000.0,16100.0,14980.0,15340.0,332
2021-10-26,16740.0,17700.0,16300.0,17020.0,506
2021-10-27,17880.0,17880.0,16020.0,16440.0,271
2021-10-28,18220.0,18460.0,17700.0,17900.0,418
2021-10-29,18600.0,18680.0,17940.0,18160.0,152
2021-11-01,17680.0,19000.0,17640.0,18560.0,306
2021-11-02,20020.0,20260.0,17060.0,17500.0,765
2021-11-03,19620.0,19760.0,17260.0,19440.0,862
2021-11-04,19680.0,20000.0,19220.0,19440.0,513
2021-11-05,18300.0,19420.0,17960.0,19080.0,228
