Date,close,high,low,open,volume
2020-07-21,25.25,25.25,25.0,25.0,87.0
2020-07-22,14.75,20.5,14.75,20.5,491.0
2020-07-23,14.125,20.0,14.125,14.75,246.0
2020-07-24,12.5,14.0,12.5,14.0,171.0
2020-07-28,12.75,12.75,12.75,12.75,120.0
2020-07-29,10.0,10.0,10.0,10.0,113.0
2020-07-30,10.0,10.0,7.5,8.75,36.0
2020-07-31,10.0,10.0,9.75,9.75,80.0
2020-08-03,8.75,8.75,8.7475004196167,8.75,524.0
2020-08-04,8.75,8.75,8.75,8.75,355.0
2020-08-05,7.5,8.75,7.5,8.75,359.0
2020-08-07,7.5,7.5,6.84375,7.5,60.0
2020-08-11,7.0,7.0,7.0,7.0,5.0
2020-08-12,5.5,5.625,5.5,5.625,120.0
2020-08-17,3.75,6.0,3.125,6.0,174.0
2020-08-18,5.0,5.0,3.125,3.125,147.0
2020-08-19,5.0,5.5,4.949999809265137,5.0,3572.0
2020-08-20,2.5,4.75,1.5,4.75,2499.0
2020-08-21,8.75,11.25,2.5,2.5,6174.0
2020-08-24,6.0,8.75,5.25,7.875,1841.0
2020-08-25,5.25,5.474999904632568,2.875,5.474999904632568,256.0
2020-08-26,4.25,5.5,4.25,5.25,200.0
2020-08-27,5.5,5.5,4.3125,4.3125,26.0
2020-08-28,3.125,5.5,2.5,5.5,191.0
2020-08-31,6.0,6.0,3.125,3.125,588.0
2020-09-01,5.0,7.5,5.0,6.0,2279.0
2020-09-02,4.0,5.0,4.0,5.0,355.0
2020-09-03,3.25,5.0,3.25,5.0,61.0
2020-09-04,3.25,3.25,3.25,3.25,204.0
2020-09-08,3.875,4.5,3.875,4.5,89.0
2020-09-09,4.5,4.5,4.5,4.5,90.0
2020-09-10,4.25,5.25,3.25,4.5,124.0
2020-09-11,4.5,4.5,3.25,4.5,152.0
2020-09-14,3.25,4.25,3.25,4.25,89.0
2020-09-15,3.25,4.25,3.25,4.25,416.0
2020-09-16,3.75,3.75,3.125,3.375,164.0
2020-09-17,4.0,4.0,3.25,4.0,854.0
2020-09-18,4.737500190734863,4.75,3.75,4.0,460.0
2020-09-21,4.75,4.75,3.75,3.75,28.0
2020-09-22,3.125,4.75,2.75,4.75,1050.0
2020-09-23,5.25,5.25,2.5,4.5,145.0
2020-09-24,3.75,4.0,1.625,4.0,3053.0
2020-09-25,3.262500047683716,3.262500047683716,3.262500047683716,3.262500047683716,8.0
2020-09-28,3.25,4.0,3.25,4.0,102.0
2020-09-29,3.1875,3.1875,2.625,2.9375,160.0
2020-09-30,3.75,3.75,3.25,3.75,129.0
2020-10-01,5.0,5.0,2.8125,3.75,424.0
2020-10-02,5.0,5.0,3.375,3.375,136.0
2020-10-05,4.5,5.0,4.0,5.0,328.0
2020-10-06,4.949999809265137,4.949999809265137,4.949999809265137,4.949999809265137,62.0
2020-10-07,4.5,5.0,4.375,5.0,230.0
2020-10-08,7.0,7.5,4.5625,4.5625,2530.0
2020-10-09,7.5,7.5,5.5,5.5,675.0
2020-10-12,6.0,6.747499942779541,5.074999809265137,6.5,552.0
2020-10-13,5.5,6.0,5.5,6.0,98.0
2020-10-14,6.75,6.75,5.0,6.0,1680.0
2020-10-15,5.0,6.75,5.0,6.75,1483.0
2020-10-16,4.587500095367432,5.0,4.587500095367432,4.75,352.0
2020-10-19,3.4749999046325684,4.587500095367432,3.299999952316284,4.463749885559082,997.0
2020-10-20,4.199999809265137,4.199999809265137,4.054999828338623,4.054999828338623,222.0
2020-10-21,3.0799999237060547,5.75,3.0799999237060547,5.75,45.0
2020-10-22,4.25,5.75,4.25,5.75,190.0
2020-10-23,4.25,4.25,4.25,4.25,22.0
