Date,close,high,low,open,volume
2026-03-25,25.030000686645508,25.15999984741211,25.030000686645508,25.100000381469727,103700
2026-03-26,25.020000457763672,25.020000457763672,25.0,25.0,800
2026-03-27,24.6200008392334,24.75,24.6200008392334,24.75,11100
2026-03-30,24.420000076293945,24.670000076293945,24.40999984741211,24.670000076293945,12300
2026-03-31,24.90999984741211,24.950000762939453,24.56999969482422,24.56999969482422,82800
2026-04-01,25.1299991607666,25.1299991607666,25.040000915527344,25.09000015258789,26700
2026-04-02,25.059999465942383,25.190000534057617,25.030000686645508,25.190000534057617,12100
2026-04-06,25.149999618530273,25.149999618530273,25.139999389648438,25.139999389648438,10100
2026-04-07,25.200000762939453,25.200000762939453,25.020000457763672,25.020000457763672,400
2026-04-08,25.610000610351562,25.700000762939453,25.610000610351562,25.639999389648438,2100
2026-04-09,25.690000534057617,25.690000534057617,25.690000534057617,25.690000534057617,100
2026-04-10,25.6299991607666,25.729999542236328,25.6299991607666,25.690000534057617,3700
2026-04-13,25.889999389648438,25.889999389648438,25.889999389648438,25.889999389648438,100
2026-04-14,26.1299991607666,26.170000076293945,26.06999969482422,26.06999969482422,1200
2026-04-15,26.1299991607666,26.1299991607666,26.049999237060547,26.1299991607666,3800
2026-04-16,26.1200008392334,26.1200008392334,26.040000915527344,26.100000381469727,18500
2026-04-17,26.40999984741211,26.510000228881836,26.40999984741211,26.440000534057617,4500
2026-04-20,26.540000915527344,26.6200008392334,26.540000915527344,26.540000915527344,11200
2026-04-21,26.440000534057617,26.6299991607666,26.440000534057617,26.6299991607666,600
2026-04-22,26.43000030517578,26.459999084472656,26.389999389648438,26.40999984741211,5400
2026-04-23,26.299999237060547,26.479999542236328,26.260000228881836,26.469999313354492,20000
2026-04-24,26.489999771118164,26.5,26.31999969482422,26.420000076293945,4100
2026-04-27,26.510000228881836,26.579999923706055,26.510000228881836,26.579999923706055,300
2026-04-28,26.06999969482422,26.510000228881836,26.06999969482422,26.510000228881836,2700
2026-04-29,26.0,26.059999465942383,26.0,26.0,4000
2026-04-30,26.350000381469727,26.360000610351562,26.1299991607666,26.1299991607666,26100
2026-05-01,26.3700008392334,26.440000534057617,26.299999237060547,26.299999237060547,1500
